state,county,population,date,type,value,lat,long
NY,Genesee,,2020-03-22,deaths,0,43.0022601,-78.19135193
NY,Warren,,2020-03-22,cases,1,43.56173026,-73.8433699
NY,Warren,,2020-03-22,deaths,0,43.56173026,-73.8433699
NY,Washington,,2020-03-22,cases,1,43.31153794,-73.43043448
NY,Washington,,2020-03-22,deaths,0,43.31153794,-73.43043448
NY,Schoharie,,2020-03-22,cases,1,42.58831742,-74.4433903
NY,Schoharie,,2020-03-22,deaths,0,42.58831742,-74.4433903
NY,Fulton,,2020-03-22,cases,1,43.11363907,-74.41798804
NY,Fulton,,2020-03-22,deaths,0,43.11363907,-74.41798804
NY,Jefferson,,2020-03-22,cases,1,44.04200959,-75.94653457
NY,Jefferson,,2020-03-22,deaths,0,44.04200959,-75.94653457
WA,King,2233163,2020-03-22,cases,1040,47.49137892,-121.8346131
WA,King,2233163,2020-03-22,deaths,75,47.49137892,-121.8346131
WA,Snohomish,814901,2020-03-22,cases,480,48.04615983,-121.7170703
WA,Snohomish,814901,2020-03-22,deaths,10,48.04615983,-121.7170703
WA,Unassigned,,2020-03-22,cases,164,0,0
WA,Unassigned,,2020-03-22,deaths,0,0,0
WA,Pierce,891299,2020-03-22,cases,107,47.03892768,-122.1405958
WA,Pierce,891299,2020-03-22,deaths,1,47.03892768,-122.1405958
WA,Skagit,128206,2020-03-22,cases,33,48.48171488,-121.766131
WA,Skagit,128206,2020-03-22,deaths,0,48.48171488,-121.766131
WA,Island,84460,2020-03-22,cases,21,48.14713305,-122.5216407
WA,Island,84460,2020-03-22,deaths,1,48.14713305,-122.5216407
WA,Spokane,514631,2020-03-22,cases,20,47.62113146,-117.4046494
WA,Spokane,514631,2020-03-22,deaths,0,47.62113146,-117.4046494
WA,Grant,97331,2020-03-22,cases,18,47.20753737,-119.4500749
WA,Grant,97331,2020-03-22,deaths,1,47.20753737,-119.4500749
WA,Kitsap,269805,2020-03-22,cases,18,47.63479026,-122.6436061
WA,Kitsap,269805,2020-03-22,deaths,0,47.63479026,-122.6436061
WA,Yakima,251446,2020-03-22,cases,16,46.45738486,-120.7380126
WA,Yakima,251446,2020-03-22,deaths,0,46.45738486,-120.7380126
WA,Whatcom,225685,2020-03-22,cases,14,48.82227976,-121.7490018
WA,Whatcom,225685,2020-03-22,deaths,2,48.82227976,-121.7490018
WA,Thurston,286419,2020-03-22,cases,11,46.9291895,-122.8290656
WA,Thurston,286419,2020-03-22,deaths,0,46.9291895,-122.8290656
WA,Clark,481857,2020-03-22,cases,10,45.77568046,-122.4829204
WA,Clark,481857,2020-03-22,deaths,3,45.77568046,-122.4829204
WA,Benton,201877,2020-03-22,cases,7,46.23946995,-119.5120834
WA,Benton,201877,2020-03-22,deaths,2,46.23946995,-119.5120834
WA,Jefferson,31729,2020-03-22,cases,6,47.75003077,-123.5609704
WA,Jefferson,31729,2020-03-22,deaths,0,47.75003077,-123.5609704
WA,Kittitas,47364,2020-03-22,cases,4,47.12521214,-120.679439
WA,Kittitas,47364,2020-03-22,deaths,0,47.12521214,-120.679439
WA,Klickitat,22107,2020-03-22,cases,4,45.87325839,-120.7913598
WA,Klickitat,22107,2020-03-22,deaths,0,45.87325839,-120.7913598
WA,Clallam,76737,2020-03-22,cases,4,48.04754642,-123.9226319
WA,Clallam,76737,2020-03-22,deaths,0,48.04754642,-123.9226319
WA,Cowlitz,108987,2020-03-22,cases,3,46.19074721,-122.6782231
WA,Cowlitz,108987,2020-03-22,deaths,0,46.19074721,-122.6782231
WA,Chelan,77036,2020-03-22,cases,3,47.87046092,-120.6173956
WA,Chelan,77036,2020-03-22,deaths,0,47.87046092,-120.6173956
WA,Franklin,94347,2020-03-22,cases,3,46.53351425,-118.9018212
WA,Franklin,94347,2020-03-22,deaths,0,46.53351425,-118.9018212
WA,Lewis,79604,2020-03-22,cases,2,46.57756476,-122.3925769
WA,Lewis,79604,2020-03-22,deaths,0,46.57756476,-122.3925769
WA,Grays Harbor,73901,2020-03-22,cases,1,47.14003705,-123.7820567
WA,Grays Harbor,73901,2020-03-22,deaths,0,47.14003705,-123.7820567
WA,Columbia,4059,2020-03-22,cases,1,46.29442881,-117.9051983
WA,Columbia,4059,2020-03-22,deaths,0,46.29442881,-117.9051983
WA,Lincoln,10740,2020-03-22,cases,1,47.57705241,-118.4194388
WA,Lincoln,10740,2020-03-22,deaths,0,47.57705241,-118.4194388
WA,Mason,65507,2020-03-22,cases,1,47.35007586,-123.1863685
WA,Mason,65507,2020-03-22,deaths,0,47.35007586,-123.1863685
WA,Walla Walla County,,2020-03-22,cases,1,46.23040051,-118.4775539
WA,Walla Walla County,,2020-03-22,deaths,0,46.23040051,-118.4775539
WA,Stevens,45260,2020-03-22,cases,1,48.40035475,-117.8542701
WA,Stevens,45260,2020-03-22,deaths,0,48.40035475,-117.8542701
WA,San Juan,17128,2020-03-22,cases,1,48.60182783,-122.96745
WA,San Juan,17128,2020-03-22,deaths,0,48.60182783,-122.96745
WA,Whitman,49791,2020-03-22,cases,1,46.90022523,-117.5241763
WA,Whitman,49791,2020-03-22,deaths,0,46.90022523,-117.5241763
NJ,Bergen,936692,2020-03-22,cases,457,40.96010917,-74.07164325
NJ,Bergen,936692,2020-03-22,deaths,6,40.96010917,-74.07164325
NJ,Unassigned,,2020-03-22,cases,221,0,0
NJ,Unassigned,,2020-03-22,deaths,4,0,0
NJ,Essex,799767,2020-03-22,cases,172,40.78681335,-74.24657979
NJ,Essex,799767,2020-03-22,deaths,4,40.78681335,-74.24657979
NJ,Monmouth,621354,2020-03-22,cases,158,40.26549699,-74.22240686
NJ,Monmouth,621354,2020-03-22,deaths,3,40.26549699,-74.22240686
NJ,Middlesex,829685,2020-03-22,cases,147,40.43629879,-74.41426991
NJ,Middlesex,829685,2020-03-22,deaths,0,40.43629879,-74.41426991
NJ,Hudson,676061,2020-03-22,cases,126,40.73766234,-74.07515667
NJ,Hudson,676061,2020-03-22,deaths,1,40.73766234,-74.07515667
NJ,Union,558067,2020-03-22,cases,124,40.65835409,-74.30680092
NJ,Union,558067,2020-03-22,deaths,0,40.65835409,-74.30680092
NJ,Morris,494228,2020-03-22,cases,119,40.86095313,-74.5455371
