date,state,positive,negative,pending,hospitalized,death,total,dateChecked,totalTestResults,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,population,region,pos100k,death100k
2020-03-16,AZ,18,125,63,,0,206,2020-03-16T20:00:00Z,143,0,0,4,6,10,7278717,w,0.247296329833953,0
2020-03-16,CA,335,7981,,,6,8316,2020-03-16T20:00:00Z,8316,1,0,7065,42,7107,39512223,w,0.847838907975388,0.015185174471201
2020-03-16,CO,131,627,,,1,758,2020-03-16T20:00:00Z,758,0,0,0,0,0,5758736,w,2.27480474881988,0.0173649217467166
2020-03-16,CT,26,125,,,,151,2020-03-16T20:00:00Z,151,0,0,0,6,6,3565287,ne,0.729254054442181,
2020-03-16,DC,17,96,7,,,120,2020-03-16T20:00:00Z,113,0,0,17,1,18,705749,s,2.40878839360736,
2020-03-16,DE,8,36,32,,,76,2020-03-16T20:00:00Z,44,0,0,0,2,2,973764,s,0.821554298577479,
2020-03-16,FL,141,684,514,,4,1339,2020-03-16T20:00:00Z,825,0,0,6,25,31,21477737,s,0.656493745127804,0.0186239360319944
2020-03-16,GA,121,,,,1,121,2020-03-16T20:00:00Z,121,0,0,0,22,22,10617423,s,1.13963623753146,0.0094184813019129
2020-03-16,GU,3,23,,,,26,2020-03-16T20:00:00Z,26,,,,,,165718,i,1.81030425180125,
2020-03-16,HI,7,,,,,7,2020-03-16T20:00:00Z,7,0,0,0,5,5,1415872,w,0.494394973556932,
2020-03-16,IA,22,83,,,,105,2020-03-16T20:00:00Z,105,0,0,0,4,4,3155070,mw,0.697290392923136,
2020-03-16,ID,5,265,,,,270,2020-03-16T20:00:00Z,270,0,0,94,0,94,1787147,w,0.279775530496372,
2020-03-16,IL,93,932,,,,1025,2020-03-16T20:00:00Z,1025,0,0,483,29,512,12671821,mw,0.733911882120178,
2020-03-16,IN,24,115,,,1,139,2020-03-16T20:00:00Z,139,1,0,13,5,18,6732219,mw,0.356494641662727,0.0148539434026136
2020-03-16,KS,11,166,,,1,177,2020-03-16T20:00:00Z,177,0,0,31,3,34,2913314,mw,0.377576876368287,0.0343251705789352
2020-03-16,KY,21,234,,,1,255,2020-03-16T20:00:00Z,255,1,0,95,5,100,4467673,s,0.47004335366532,0.0223830168412057
2020-03-16,LA,114,188,,,2,302,2020-03-16T20:00:00Z,302,0,0,32,23,55,4648794,s,2.45224890584526,0.0430219106288642
2020-03-16,MA,164,352,,,,516,2020-03-16T20:00:00Z,516,0,0,0,26,26,6949503,ne,2.35988098717275,
2020-03-16,MD,37,94,,,,131,2020-03-16T20:00:00Z,131,0,0,0,6,6,6045680,s,0.612007251458893,
2020-03-16,ME,17,764,,,,781,2020-03-16T20:00:00Z,781,0,0,673,14,687,1344212,ne,1.26468146393575,
2020-03-16,MI,53,272,30,,,355,2020-03-16T20:00:00Z,325,0,0,67,20,87,9986857,mw,0.530697495718623,
2020-03-16,MN,54,1839,,,,1893,2020-03-16T20:00:00Z,1893,0,0,452,19,471,5639632,mw,0.957509284293727,
2020-03-16,MO,6,164,,,0,170,2020-03-16T20:00:00Z,170,0,0,42,1,43,6137428,s,0.0977608209823398,0
2020-03-16,MP,0,,,,,0,2020-03-16T20:00:00Z,0,,,,,,55194,i,0,
2020-03-16,MS,12,277,,,,289,2020-03-16T20:00:00Z,289,0,0,193,2,195,2976149,s,0.403205619073507,
2020-03-16,MT,7,198,0,,,205,2020-03-16T20:00:00Z,205,0,0,95,0,95,1068778,w,0.654953601215594,
2020-03-16,NC,33,296,151,,0,480,2020-03-16T20:00:00Z,329,0,0,69,1,70,10488084,s,0.314642788902148,0
2020-03-16,ND,1,123,0,,0,124,2020-03-16T20:00:00Z,124,0,0,28,0,28,762062,mw,0.131222918870118,0
2020-03-16,NE,18,170,,,,188,2020-03-16T20:00:00Z,188,0,0,90,1,91,1934408,mw,0.93051724351843,
2020-03-16,NH,13,271,95,,,379,2020-03-16T20:00:00Z,284,0,0,0,0,0,1359711,ne,0.956085521114413,
2020-03-16,NJ,178,120,20,,2,318,2020-03-16T20:00:00Z,298,0,0,0,80,80,8882190,ne,2.00401027224142,0.0225169693510272
